,category,text,predicted_category
0,general,navy hospital ship arrives new york u navy hospital ship arrived new york harbor monday help relieve local hospital overwhelmed coronavirus patientsthe usn comfort treat noncoronavirus patient freeing bed loca u navy hospital ship arrived new york harbor monday help relieve local hospital beingoverwhelmed coronavirus patientsthe usn comfort treat noncoronavirus patient freeing bedsso localhospitalscan focus covid19live 1408 char,name
1,science,warns young people dying coronavirus official world health organization said friday seeing case young people dying coronavirus seeing younger individual exper official world health organization whosaid friday areseeing case young people dying coronaviruswe seeing younger individual experiencing severe disease maria van kerkhove head who 1713 char,name
2,general,nj governor order flag across state lowered halfstaff indefinitely life lost coronavirus new jersey gov phil murphy signed executive order friday directing flag state lowered halfstaff indefinitely honor life lost coronavirus pandemic new jersey gov phil murphy signed executive order friday directing flag state lowered halfstaff indefinitely honor life lost coronavirus pandemicthis one greatest tragedy ever hit stat 1287 char,name
3,general,florida reporter say blocked gov desantiss coronavirus press briefing florida reporter bureau operated two state largest newspaper say denied access press conference given gov ron desantis r coronavirus effort statemary ellen klas florida reporter bureau operated two state largest newspaper say denied access press conference given gov ron desantisronald dion desantis16 thing know today coronavirusflorida governor announces mandatory 14 4773 char,name
4,general,hill coronavirus report nato deputy secretary general geoan say alliance must fight disinformation campaign bad actor senate pas relief bill today senate expected pas relief bill today trump sign executive order halting immigration u maryland gov larry hogan buy 500000 testing kit south korea shrug trump criticism georgia governor opening gym barber shop massage e view breaking news coronavirus need know today gt senate passage relief bill expected todaygt trump sign executive order halting immigration usgt georgia set reopen friday atlanta mayor perplexed movegt 18562 char,name
5,general,doctor criticized hospital measure coronavirus fired washington state emergency room doctor spoke called lack protective measure implemented coronavirus hospital fired washington state emergency room doctor spoke called lack protective measure implemented coronavirus hospital fireddr ming lin wrote facebook post friday terminated hi 2717 char,name
6,general,michelle obama encourages inperson wisconsin voter prioritize safety former first lady michelle obama tuesday encouraged wisconsin resident prioritize safety safety others voting person amid ongoing coronavirus outbreak former first lady michelle obamamichelle levaughn robinson obamalizzo donates lunch hospital worker battling coronavirusbiden could picking next president vp choice important everlobbying worldmore tuesday encouraged wisconsin residen 3696 char,name
7,science,space force launch first mission u space force conducted first launch thursday sending military communication satellite orbitat 418 pm united launch alliance ula atlas v rocket blasted sixth advanced extremely high u space force conducted first launch thursday sending military communication satellite orbita united launch alliance ula atlas v rocket blasted sixth advanced extremely high frequency aehf satellite space cape canavera 2393 char,name
8,general,malaysian government warned woman sarcastic husband coronavirus lockdown malaysian government warned woman sarcastic husband asking help household chore coronavirus lockdown request sparked debate tuesdayma malaysian government warned woman sarcastic husband asking help household chore coronavirus lockdown request sparked debate tuesdaymalaysias ministry woman family community development pro 2096 char,name
9,general,animal hospital vet school send ventilator hospital amid shortage animal hospital veterinary school sending critically needed ventilator hospital facing supply shortage amid coronavirus outbreak although institution use equipment animal hospital veterinary school sending critically needed ventilator hospital facing supply shortage amid coronavirus outbreakalthough institution use equipment treat animal vet say ventilator use sam 2478 char,name
10,science,gottlieb let say fall wish wed done spring former fda commissioner scott gottlieb said official immediate focus developing drug treat coronavirus risk wishing done wed taken certain former fda commissioner scott gottlieb said official immediate focus developing drug treat coronavirus risk wishing doneif wed taken certain step winter recognized coronavirus characteristi 1949 char,name
11,general,india thailand germany warn punishment coronavirus misinformation april fool day several nation including thailand germany india warned spreading coronavirusrelated misinformation april fool day country threatening jail time perpetrator several nation including thailand germany india warned spreading coronavirusrelated misinformation april fool day country threatening jail time forperpetratorsthai official announced tuesday joke could ca 2182 char,name
12,general,kathy griffin say trump lying coronavirus testing cant get tested comedian kathy griffin wednesday accused president trump lying accessibility coronavirus test saying couldnt get tested hospital federal restriction despite showing u comedian kathy griffin wednesday accused president trumpdonald john trumpnorth korea asking aid denying coronavirus case reportiranian official maintains tehran knowledge american hostage whereaboutsunemployment claim surge 2249 char,name
13,science,probable coronavirus death included cdc total center disease control prevention cdc announced week would begin including probable case coronavirus count disease case usciting statement council state center disease control prevention cdc announced week would begin including probable case coronavirus count disease case usciting statement thecouncil state territorial epidemiolog 1445 char,name
14,general,actress evangeline lilly apologizes dismissive arrogant coronavirus message refusing selfisolation actress evangeline lilly apologized called insensitivity showed earlier month initially refusing selfquarantine ongoing coronavirus pandemic saying doin actress evangeline lilly apologized forwhat called insensitivity showed earlier month initially refusing selfquarantine ongoing coronavirus pandemic saying part flatten curve practicing soci 2605 char,name
15,general,four coalition troop afghanistan test positive coronavirus four troop usled nato coalition afghanistan tested positive coronavirus official announced tuesday marking first confirmed case among service member wartorn countryresolute four troop usled nato coalition afghanistan tested positive coronavirus official announced tuesday marking first confirmed case among service member wartorn countryresolute support identify nationality 3325 char,name
16,general,florida sheriff asks new lead disappearance carole baskins former husband netflixs tiger king drop sheriff hillsborough county florida asking public lead 1997 disappearance millionaire lewis former husband carole baskin popular tiger king docuseries netflix p sheriff hillsborough county florida asking public lead 1997 disappearance millionaire lewis former husband carole baskin popular tiger king docuseries netflix prompted question online cold 3667 char,name
17,business,coalition petition epa disclosure agency ok suspension environmental monitoring coalition environmental group petitioning environmental protection agency epa stringent disclosure following memo agency allows company suspend monitoring pollution coalition environmental group petitioning environmental protection agency epa stringent disclosure following memo agency allows company suspend monitoring pollution pandemica directive issued 3351 char,name
18,business,nearly 80 airline cut capacity 100 percent coronavirus majority airline worldwide cut capacity 100 percent result coronavirus shutting travel grounding flightsof 153 carrier 78 announced capacity cut 100 percent majority airline worldwide cut capacity 100 percent result coronavirus shutting travel grounding flightsof 153 carrier 78 announced capacity cut 100 percent additionally almost 85 percent airline 3394 char,name
19,finance,new bill would withhold pay senate coronavirus stimulus package pass sen martha mcsally rariz introduced legislation would withhold pay senate member chamber pass coronavirus stimulus package response national outbreakif american arent sen martha mcsallymartha elizabeth mcsallysenate gop super pac book million fall adspolitics pandemic republican rightly worriednrsc outraises dscc februarymore rariz introduced legislation would withhold pay 2378 char,name
20,general,overnight energy democrat push green infrastructure provision next coronavirus package coalition petition epa disclosure agency ok suspension environmental monitoring government weighs renting petroleum reserve space producer another chance go green democrat pushing next coronavirus package include litany green infrastructure provision defiance past gop rebuke mixing measure effort combat covid19 pandemicrep peter another chance go green democrat pushing next coronavirus package include litany green infrastructure provision defiance past gop rebuke mixing measure effort combat covid19 pandemicrep peter defazio 11999 char,name
21,general,ferrell snoop dogg appear psa urging californian stay home amid coronavirus ferrell snoop dogg urging californian stay home series coronavirusrelated video released gov gavin newsom one public service announcement psa released tuesday anchorman star ferrell tell ferrell snoop dogg urging californian stay home series coronavirusrelated video released gov gavin newsomgavin christopher newsomthe hill campaign report biden seek counter trump coronavirustrump approves disaster de 2283 char,name
22,general,holdout governor face pressure issue stayathome order holdout governor coming pressure take aggressive action coronavirus spread area country sweeping order tha holdout governor coming pressure take aggressive action coronavirus spread area country sweeping order resident stay home nonessential business close garnered attention number 6407 char,name
23,finance,senate democrat unveil 500 billion shortterm coronavirus relief plan senate democrat thursday unveiled detail 500 billion coronavirus relief plan offer later morning senate majority leader mitch mcconnell rky request unanimous consent provide senate democrat thursday unveiled detail 500 billion coronavirus relief plan offer later morning senate majority leader mitch mcconnelladdison mitch mitchell mcconnellmcconnell try pas small business fund thursda 4476 char,name
24,finance,lawmaker press irs get coronavirus check senior lawmaker tax policy expert advocate retiree outraged new irs guidance indicates senior need file tax return receive coronavirus checksthe 22 trillion coronavirus rel lawmaker tax policy expert advocate retiree outraged new irs guidance indicates senior need file tax return receive coronavirus checksthe 22 trillion coronavirus relief bill president trumpdonald john trumpil 8907 char,name
25,general,overnight health care state order resident stay home trump look sell public coronavirus response judge block ohio texas abortion ban dems eye infrastructure next relief bill welcome monday overnight health care state issuing stayathome order resident also governor holding tougher restriction facing pressure also abort welcome monday overnight health care state issuing stayathome order resident also governor holding tougher restriction facing pressure also abortion right group suing ensure 14308 char,name
